dataset,seed,method,mcc,sensitivity,specificity,precision,f2,ap,tp,fp,tn,fn
3year.arff,5,EasyEnsemble_reference,0.2065516291371839,0.436241610738255,0.8880746169220519,0.1620947630922693,0.3259779338014042,0.1604148472776413,65.0,336.0,2666.0,84.0
3year.arff,6,Balanced_logistic,0.1946238745203278,0.4496644295302013,0.8717521652231845,0.1482300884955752,0.3196564885496183,0.1543851531139048,67.0,385.0,2617.0,82.0
3year.arff,6,Random_forest,0.2552994689672341,0.4765100671140939,0.90473017988008,0.1988795518207282,0.3725078698845749,0.3061414270466113,71.0,286.0,2716.0,78.0
3year.arff,6,Extra_trees,0.1883325444132034,0.4899328859060403,0.8444370419720186,0.1351851851851851,0.3213028169014084,0.1298331901506501,73.0,467.0,2535.0,76.0
3year.arff,6,HistGB_fair,0.4271972056636752,0.5704697986577181,0.9520319786808794,0.37117903930131,0.515151515151515,0.5469937154603663,85.0,144.0,2858.0,64.0
3year.arff,6,Balanced_forest_reference,0.2268363078991064,0.4899328859060403,0.8790806129247168,0.1674311926605504,0.3536821705426357,0.2293157899146768,73.0,363.0,2639.0,76.0
3year.arff,6,EasyEnsemble_reference,0.2654114905591876,0.5906040268456376,0.8644237175216523,0.1777777777777777,0.4032997250229148,0.2147447216702964,88.0,407.0,2595.0,61.0
3year.arff,7,Balanced_logistic,0.1799455155399058,0.5234899328859061,0.8157894736842105,0.1236133122028526,0.3178484107579462,0.1349051170815881,78.0,553.0,2449.0,71.0
3year.arff,7,Random_forest,0.3303065771701567,0.5503355704697986,0.9203864090606264,0.2554517133956386,0.4471101417666303,0.3250254121947365,82.0,239.0,2763.0,67.0
3year.arff,7,Extra_trees,0.1697065486419865,0.5100671140939598,0.8117921385742838,0.1185647425897035,0.307194826192401,0.1400503278871937,76.0,565.0,2437.0,73.0
