horizon,target_region,method,auc,ap,mcc,balanced_accuracy,brier,log_loss,ece_10,calibration_intercept,calibration_slope,absolute_intercept,absolute_slope_error
3,Europe,Full_random_search,0.6961199294532628,0.6847191114168192,0.2253928845010161,0.5897707231040563,0.22618332553690496,0.644514289860069,0.08162761806446839,-0.029095240340841384,0.8073613232087361,0.029095240340841384,0.1926386767912639
3,Europe,HistGB,0.7042915931804822,0.6782673122876944,0.22402493650936348,0.5875220458553791,0.22547528798864297,0.6429027879985254,0.0614707451019886,-0.0378122242361669,0.8352038306828387,0.0378122242361669,0.16479616931716135
3,Europe,KELM_PBMSBAINGO,0.6863168724279836,0.7196998788178595,0.2745449368675842,0.6165343915343915,0.23721007285381984,0.6760950445715913,0.1258046223894423,0.13907759358678298,0.5584049160683143,0.13907759358678298,0.4415950839316857
3,Europe,KELM_risk_feature,0.7009112286890063,0.7013104857346388,0.2592575895430033,0.6139770723104057,0.22681138302599685,0.6516614281154279,0.11178222070698089,0.0313511882727247,0.6518612046608447,0.0313511882727247,0.34813879533915526
3,Europe,KELM_score_fusion,0.6943268665490889,0.7281513101224191,0.27294557350097626,0.6132275132275131,0.23116745342067913,0.6606217833322734,0.10954699130584014,0.12437858165195051,0.6571067930833798,0.12437858165195051,0.3428932069166202
3,Europe,Uncertainty_gated_fusion,0.7009112286890063,0.7013104857346388,0.2592575895430033,0.6139770723104057,0.22681138302599685,0.6516614281154279,0.11178222070698089,0.0313511882727247,0.6518612046608447,0.0313511882727247,0.34813879533915526
3,North America,Balanced_logistic,0.7757201646090535,0.8210429428354262,0.4167300599845326,0.6837606837606838,0.2020315582146705,0.5888620021054498,0.1047219503344946,0.589182782317282,1.6184727602513447,0.589182782317282,0.6184727602513447
3,North America,Full_PBMSBAINGO,0.7666666666666668,0.7460763917306693,0.25022175975007294,0.5936372269705603,0.20739012264083095,0.606601678116417,0.11686683142572667,0.4759803619750098,0.912420926580707,0.4759803619750098,0.08757907341929305
3,North America,Full_random_search,0.7632162076606519,0.7316661686026997,0.1689897403854155,0.5580246913580247,0.2059073631757836,0.6018006869408834,0.10116190260163842,0.4234538161385178,0.9456231388755867,0.4234538161385178,0.05437686112441331
3,North America,HistGB,0.7581513137068693,0.7425057484630788,0.2802966691779787,0.6096866096866097,0.2081986360141605,0.6053359530164972,0.0877826796648437,0.4194989989977606,0.9980262905262238,0.4194989989977606,0.001973709473776175
3,North America,KELM_PBMSBAINGO,0.7495409939854385,0.7564700130693136,0.27030053097160145,0.6023741690408357,0.21505901658199975,0.6395889784584646,0.12041193257308795,0.28679337934192917,0.8248473339980424,0.28679337934192917,0.17515266600195756
3,North America,KELM_risk_feature,0.7604305159860715,0.7831917345265588,0.3526976340758778,0.6372269705603039,0.2132817050002509,0.645869716322055,0.10976227452948342,0.2124674056844551,1.0433963944196905,0.2124674056844551,0.043396394419690454
3,North America,KELM_score_fusion,0.7715099715099715,0.7707018846163434,0.3051299889653753,0.6138651471984805,0.20277615314569605,0.5932003010357352,0.09288472836965422,0.3644481292166049,1.017897401274651,0.3644481292166049,0.017897401274650893
3,North America,Uncertainty_gated_fusion,0.7603355492244381,0.7850093499269442,0.33161347207211134,0.6203703703703702,0.21313896968019033,0.6486321111255606,0.11782071604758801,0.36128605946440884,0.8496509199054124,0.36128605946440884,0.15034908009458758
